Jurisdiction,Week of Allocations,1st Dose Allocations
Maine,3/15/2021,1600
Massachusetts,3/15/2021,8000
New Hampshire,3/15/2021,1600
Rhode Island,3/15/2021,1300
Vermont,3/15/2021,800
New Jersey,3/15/2021,10200
New York,3/15/2021,12900
New York City,3/15/2021,9800
Puerto Rico,3/15/2021,4000
U.S. Virgin Islands,3/15/2021,200
Delaware,3/15/2021,1100
District of Columbia,3/15/2021,900
Maryland,3/15/2021,6900
Pennsylvania,3/15/2021,13000
Philadelphia,3/15/2021,1800
Virginia,3/15/2021,9600
West Virginia,3/15/2021,2200
Alabama,3/15/2021,5600
Florida,3/15/2021,24100
Georgia,3/15/2021,11500
Kentucky,3/15/2021,5100
Mississippi,3/15/2021,3400
North Carolina,3/15/2021,11500
South Carolina,3/15/2021,5700
Tennessee,3/15/2021,7600
Chicago,3/15/2021,3100
Illinois,3/15/2021,11500
Indiana,3/15/2021,7500
Michigan,3/15/2021,11400
Minnesota,3/15/2021,6300
Ohio,3/15/2021,13200
Wisconsin,3/15/2021,6700
Arkansas,3/15/2021,3400
Louisiana,3/15/2021,5200
New Mexico,3/15/2021,2400
Oklahoma,3/15/2021,4400
Texas,3/15/2021,30200
Iowa,3/15/2021,3600
Kansas,3/15/2021,3300
Missouri,3/15/2021,6900
Nebraska,3/15/2021,2200
Colorado,3/15/2021,6300
Montana,3/15/2021,1200
North Dakota,3/15/2021,900
South Dakota,3/15/2021,1000
Utah,3/15/2021,3200
Wyoming,3/15/2021,700
Arizona,3/15/2021,7900
California,3/15/2021,44000
Hawaii,3/15/2021,1700
Nevada,3/15/2021,3300
American Samoa,3/15/2021,100
Guam,3/15/2021,200
Marshall Islands,3/15/2021,100
Micronesia,3/15/2021,100
Mariana Islands,3/15/2021,100
Palau,3/15/2021,100
Alaska,3/15/2021,1300
Idaho,3/15/2021,1900
Oregon,3/15/2021,4800
Washington,3/15/2021,8400
Federal Entities,3/15/2021,120500
Connecticut,3/1/2021,30200
Maine,3/1/2021,11500
Massachusetts,3/1/2021,58100
New Hampshire,3/1/2021,11600
Rhode Island,3/1/2021,9100
Vermont,3/1/2021,5400
New Jersey,3/1/2021,73600
New York,3/1/2021,93700
New York City,3/1/2021,71100
Puerto Rico,3/1/2021,28800
U.S. Virgin Islands,3/1/2021,900
Delaware,3/1/2021,8000
District of Columbia,3/1/2021,6000
Maryland,3/1/2021,49600
Pennsylvania,3/1/2021,94600
Philadelphia,3/1/2021,13100
Virginia,3/1/2021,69700
West Virginia,3/1/2021,15500
Alabama,3/1/2021,40100
Florida,3/1/2021,175100
Georgia,3/1/2021,83000
Kentucky,3/1/2021,36500
Mississippi,3/1/2021,24200
North Carolina,3/1/2021,83700
South Carolina,3/1/2021,41100
Tennessee,3/1/2021,54800
Chicago,3/1/2021,22300
Illinois,3/1/2021,83100
Indiana,3/1/2021,53900
Michigan,3/1/2021,82700
Minnesota,3/1/2021,45200
Ohio,3/1/2021,96100
Wisconsin,3/1/2021,48000
Arkansas,3/1/2021,24400
Louisiana,3/1/2021,37900
New Mexico,3/1/2021,17200
Oklahoma,3/1/2021,31500
Texas,3/1/2021,219200
Iowa,3/1/2021,25600
Kansas,3/1/2021,23400
Missouri,3/1/2021,50100
Nebraska,3/1/2021,15500
Colorado,3/1/2021,45500
Montana,3/1/2021,8700
North Dakota,3/1/2021,6300
South Dakota,3/1/2021,7000
Utah,3/1/2021,22800
Wyoming,3/1/2021,4800
Arizona,3/1/2021,56800
California,3/1/2021,320100
Hawaii,3/1/2021,11900
Nevada,3/1/2021,24000
American Samoa,3/1/2021,400
Guam,3/1/2021,1300
Marshall Islands,3/1/2021,600
Micronesia,3/1/2021,800
Mariana Islands,3/1/2021,400
Palau,3/1/2021,200
Alaska,3/1/2021,8900
Idaho,3/1/2021,13300
Oregon,3/1/2021,34400
Washington,3/1/2021,60900
Federal Entities,3/1/2021,139200
